Dataset,Classifier,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_mean,acc_stddev,train_time,test_time
ilpd-numeric,Perceptron,0.6666666666666666,0.7094017094017094,0.6666666666666666,0.6724137931034483,0.603448275862069,0.6637194223401119,0.034095298884647095,0.010654926300048828,0.006132364273071289
ilpd-numeric,MLP,0.7435897435897436,0.717948717948718,0.6923076923076923,0.6551724137931034,0.7155172413793104,0.7049071618037136,0.029702827812101533,0.6314935684204102,0.006710529327392578
students_scores,DecisionTree,0.83,0.805,0.81,0.835,0.815,0.8190000000000002,0.011575836902790192,0.013019084930419922,0.0039365291595458984
students_scores,SVM,0.875,0.915,0.85,0.9,0.835,0.875,0.029832867780352622,0.059916019439697266,0.030863046646118164
students_scores,KNN,0.86,0.865,0.85,0.85,0.825,0.85,0.013784048752090234,0.005265951156616211,0.009481430053710938
students_scores,LogisticRegression,0.86,0.895,0.86,0.905,0.82,0.868,0.03009983388658485,0.05887293815612793,0.005209922790527344
students_scores,Perceptron,0.735,0.745,0.565,0.805,0.745,0.7190000000000001,0.08089499366462677,0.012327909469604492,0.004662752151489258
students_scores,MLP,0.875,0.93,0.86,0.895,0.865,0.885,0.025495097567963948,1.7390727996826172,0.005490303039550781
usps,DecisionTree,0.8811827956989248,0.8774193548387097,0.8763440860215054,0.8773534158149543,0.8891877353415815,0.8802974775431351,0.004741326106569109,12.38181757926941,0.020167112350463867
usps,SVM,0.9790322580645161,0.9741935483870968,0.9774193548387097,0.972027972027972,0.9714900484131254,0.974832636346284,0.002958898598606993,5.359198093414307,3.1848084926605225
usps,KNN,0.9682795698924731,0.9741935483870968,0.967741935483871,0.9644970414201184,0.9704142011834319,0.9690252592733982,0.0032046248304778745,0.13123250007629395,0.5466091632843018
usps,LogisticRegression,0.9489247311827957,0.943010752688172,0.9516129032258065,0.9478214093598709,0.9435180204410973,0.9469775633795485,0.0032770089529026943,13.34524393081665,0.0391850471496582
usps,Perceptron,0.9172043010752688,0.9182795698924732,0.9397849462365592,0.9198493813878429,0.921463152232383,0.9233162701649054,0.008359368052722782,2.7140719890594482,0.019384384155273438
usps,MLP,0.9758064516129032,0.9666666666666667,0.975268817204301,0.9704142011834319,0.9688004303388918,0.9713913134012389,0.0035921634502429993,131.55296421051025,0.05650162696838379
ibm-employee-performance,DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.02819371223449707,0.01123189926147461
ibm-employee-performance,SVM,0.8469387755102041,0.8469387755102041,0.8469387755102041,0.8469387755102041,0.8435374149659864,0.8462585034013607,0.0013605442176870763,0.2737760543823242,0.09398412704467773
ibm-employee-performance,KNN,0.826530612244898,0.8333333333333334,0.8333333333333334,0.8197278911564626,0.8333333333333334,0.8292517006802722,0.005442176870748305,0.014892578125,0.06093239784240723
ibm-employee-performance,LogisticRegression,0.9625850340136054,0.9795918367346939,0.9523809523809523,0.9523809523809523,0.9591836734693877,0.9612244897959183,0.00999791731748237,1.2543179988861084,0.01380777359008789
ibm-employee-performance,Perceptron,0.8503401360544217,0.8469387755102041,0.8129251700680272,0.8469387755102041,0.717687074829932,0.8149659863945578,0.0505236588506861,0.03537106513977051,0.010390996932983398
ibm-employee-performance,MLP,0.9183673469387755,0.8945578231292517,0.8843537414965986,0.9183673469387755,0.9047619047619048,0.9040816326530612,0.013330556423309827,2.8877506256103516,0.009204864501953125
mushroom,DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.07010388374328613,0.012834548950195312
mushroom,SVM,0.9901538461538462,0.9907692307692307,0.9950769230769231,0.9858461538461538,0.9901477832512315,0.9903987874194771,0.0029281958019872953,1.5832321643829346,0.5396859645843506
mushroom,KNN,0.9981538461538462,0.9981538461538462,1.0,0.9987692307692307,0.999384236453202,0.998892231906025,0.0007176036429904578,0.03858518600463867,0.8812301158905029
mushroom,LogisticRegression,0.9526153846153846,0.9556923076923077,0.9606153846153846,0.9556923076923077,0.9544334975369458,0.955809776430466,0.002654044102755414,0.8314085006713867,0.017972946166992188
mushroom,Perceptron,0.9581538461538461,0.9421538461538461,0.7126153846153847,0.9366153846153846,0.8879310344827587,0.8874938992042442,0.09052750320704578,0.08976507186889648,0.014717817306518555
mushroom,MLP,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.784291982650757,0.016941070556640625
segment,DecisionTree,0.9632034632034632,0.9696969696969697,0.9567099567099567,0.9653679653679653,0.9675324675324676,0.9645021645021645,0.004456982745016022,0.09429287910461426,0.008213043212890625
segment,SVM,0.8484848484848485,0.8679653679653679,0.8528138528138528,0.8874458874458875,0.854978354978355,0.8623376623376624,0.014134049971700884,0.36122560501098633,0.18797945976257324
segment,KNN,0.9329004329004329,0.9437229437229437,0.9155844155844156,0.9588744588744589,0.9502164502164502,0.9402597402597402,0.014971096507177983,0.013783454895019531,0.021761655807495117
segment,LogisticRegression,0.948051948051948,0.9632034632034632,0.9502164502164502,0.9567099567099567,0.9632034632034632,0.9562770562770563,0.006332787375899476,2.834827184677124,0.01298213005065918
segment,Perceptron,0.7554112554112554,0.8008658008658008,0.7402597402597403,0.829004329004329,0.7619047619047619,0.7774891774891775,0.032608639974487395,0.09287738800048828,0.0071392059326171875
segment,MLP,0.9458874458874459,0.9675324675324676,0.9545454545454546,0.9632034632034632,0.9545454545454546,0.9571428571428573,0.0075478769585119905,3.258423089981079,0.010370731353759766
autoUniv-au1-1000,DecisionTree,0.615,0.66,0.65,0.67,0.66,0.651,0.01907878402833893,0.016475200653076172,0.005717039108276367
autoUniv-au1-1000,SVM,0.74,0.765,0.755,0.77,0.76,0.758,0.010295630140987009,0.13517403602600098,0.04680967330932617
autoUniv-au1-1000,KNN,0.7,0.72,0.725,0.745,0.78,0.734,0.02709243436828816,0.006626129150390625,0.01750326156616211
autoUniv-au1-1000,LogisticRegression,0.7,0.755,0.765,0.73,0.725,0.7350000000000001,0.023021728866442697,0.035215139389038086,0.008749961853027344
autoUniv-au1-1000,Perceptron,0.61,0.705,0.725,0.735,0.71,0.697,0.044788391353117386,0.011413097381591797,0.0058519840240478516
autoUniv-au1-1000,MLP,0.67,0.725,0.725,0.73,0.665,0.7030000000000001,0.029086079144497946,8.441033124923706,0.008707046508789062
pizzacutter3,DecisionTree,0.8708133971291866,0.8277511961722488,0.8421052631578947,0.7932692307692307,0.8365384615384616,0.8340955097534044,0.025001451105386263,0.0704200267791748,0.006057262420654297
pizzacutter3,SVM,0.8803827751196173,0.8755980861244019,0.8755980861244019,0.8798076923076923,0.8798076923076923,0.8782388663967613,0.0021663893917446904,0.049149274826049805,0.030739545822143555
pizzacutter3,KNN,0.8660287081339713,0.8516746411483254,0.861244019138756,0.8557692307692307,0.8846153846153846,0.8638663967611336,0.01145666577906656,0.006731748580932617,0.013338327407836914
pizzacutter3,LogisticRegression,0.8947368421052632,0.8660287081339713,0.8899521531100478,0.8701923076923077,0.8846153846153846,0.8811050791313949,0.011160676209657956,0.8036537170410156,0.011200904846191406
pizzacutter3,Perceptron,0.7368421052631579,0.861244019138756,0.8755980861244019,0.8798076923076923,0.8798076923076923,0.8466599190283401,0.05533103190404667,0.013227462768554688,0.007241010665893555
pizzacutter3,MLP,0.8086124401913876,0.6985645933014354,0.8133971291866029,0.6826923076923077,0.8798076923076923,0.7766148325358853,0.07475136262036697,0.39683032035827637,0.008346080780029297
qsar,DecisionTree,0.8009478672985783,0.8104265402843602,0.8151658767772512,0.7772511848341233,0.7819905213270142,0.7971563981042655,0.015106518910435289,0.06295204162597656,0.004323005676269531
qsar,SVM,0.8436018957345972,0.7819905213270142,0.8199052132701422,0.7914691943127962,0.8388625592417062,0.8151658767772512,0.024717355090815758,0.1082453727722168,0.0699164867401123
qsar,KNN,0.8009478672985783,0.7867298578199052,0.8199052132701422,0.7867298578199052,0.8388625592417062,0.8066350710900474,0.020196469907736977,0.0045528411865234375,0.014442205429077148
qsar,LogisticRegression,0.8246445497630331,0.8388625592417062,0.8767772511848341,0.8436018957345972,0.9146919431279621,0.8597156398104266,0.032366580244481274,0.4136486053466797,0.006119489669799805
qsar,Perceptron,0.8104265402843602,0.5924170616113744,0.7772511848341233,0.7393364928909952,0.8483412322274881,0.7535545023696683,0.0882586111619699,0.016930580139160156,0.0055217742919921875
qsar,MLP,0.8578199052132701,0.8957345971563981,0.8767772511848341,0.8341232227488151,0.919431279620853,0.8767772511848341,0.029521159246251073,4.353691339492798,0.006150722503662109
solar-flare,DecisionTree,0.7142857142857143,0.7142857142857143,0.6825396825396826,0.7301587301587301,0.7619047619047619,0.7206349206349206,0.025790598109955407,0.008414268493652344,0.005300998687744141
solar-flare,SVM,0.746031746031746,0.7619047619047619,0.7301587301587301,0.7301587301587301,0.7142857142857143,0.7365079365079366,0.01618736353521518,0.022029876708984375,0.009395837783813477
solar-flare,KNN,0.5873015873015873,0.7142857142857143,0.5873015873015873,0.7301587301587301,0.7142857142857143,0.6666666666666667,0.06506000486323553,0.005892038345336914,0.009567975997924805
solar-flare,LogisticRegression,0.7142857142857143,0.7619047619047619,0.7301587301587301,0.7619047619047619,0.6825396825396826,0.7301587301587302,0.03011693009684168,0.2594442367553711,0.008173942565917969
solar-flare,Perceptron,0.4603174603174603,0.6666666666666666,0.6190476190476191,0.5396825396825397,0.6349206349206349,0.584126984126984,0.07472128441866552,0.023854970932006836,0.0072329044342041016
solar-flare,MLP,0.6031746031746031,0.746031746031746,0.746031746031746,0.7619047619047619,0.746031746031746,0.7206349206349206,0.05905103250075644,2.7042226791381836,0.006957054138183594
