Dataset,Best,min.histogram.9,h_mean.histogram.9,var.histogram.0,class_conc.histogram.0,best_node.max,mad.histogram.0,elite_nn.median.relative,t_mean.histogram.9,worst_node.mean.relative,tree_depth.histogram.5,range.histogram.0,best_node.histogram.6,g_mean.histogram.9,random_node.histogram.8.relative,one_nn.max.relative,cov.histogram.0,cov.min,naive_bayes.histogram.5
ecoli_did1011,SVM,0.2857142857142857,0.4285714285714285,0.1428571428571428,0.1428571428571428,0.9411764705882352,0.2857142857142857,5.0,0.1428571428571428,1.0,0.2040816326530612,0.2857142857142857,0.3,0.4285714285714285,5.0,6.0,0.5714285714285714,4.504264392324096e-05,0.2
electricity_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44372,DecisionTree,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.775,0.2857142857142857,3.0,0.2857142857142857,1.0,0.2341463414634146,0.1428571428571428,0.1,0.2857142857142857,3.0,5.0,0.4761904761904761,2.765026635141568e-05,0.3
eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44423,LogisticRegression,0.2,0.0909090909090909,0.9,0.45,0.57,0.95,2.0,0.05,1.0,0.1627620221948212,0.85,0.0,0.0871212121212121,5.0,7.0,0.9526315789473684,0.0010334998296323,0.0
football-player-position_did46764,LogisticRegression,0.0909090909090909,0.0909090909090909,0.9090909090909092,0.1818181818181818,0.6260387811634349,0.6363636363636364,2.0,0.0909090909090909,1.0,0.2263414634146341,0.7272727272727273,0.2,0.0909090909090909,1.5,5.0,0.9454545454545454,1.0256586357897332e-05,0.1
fri_c3_1000_25_did715,DecisionTree,0.28,0.0909090909090909,0.04,0.84,0.76,0.04,6.0,0.68,1.0,0.1655172413793103,0.88,0.0,0.0871212121212121,2.0,3.0,0.9666666666666668,1.0232933503499024e-05,0.1
glass_did1005,KNN,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.8181818181818182,0.3333333333333333,2.0,0.1111111111111111,3.5,0.1538461538461538,0.2222222222222222,0.1,0.1111111111111111,3.0,7.0,0.6111111111111112,5.828835944013322e-07,0.0
heart-statlog_did53,LogisticRegression,0.0769230769230769,0.0769230769230769,0.7692307692307693,0.3076923076923077,0.8148148148148148,0.6923076923076923,1.0,0.0769230769230769,2.0,0.1978021978021978,0.6923076923076923,0.2,0.0769230769230769,2.5,2.5,0.9230769230769232,0.0006884207627701,0.3
hepatitis_c_virus_hcv_for_egyptian_patients_did46850,LogisticRegression,0.0357142857142857,0.0357142857142857,0.7857142857142857,0.0357142857142857,0.2681159420289855,0.75,6.0,0.0357142857142857,7.0,0.2918918918918919,0.7857142857142857,0.0,0.0357142857142857,2.5,3.5,0.984126984126984,0.0001778969554057,0.2
house_16H_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44387,DecisionTree,0.0625,0.0625,0.9375,0.25,0.77,0.9375,3.5,0.0625,2.0,0.2588235294117647,0.9375,0.2,0.0625,2.5,3.0,0.9,1.1082232956998436e-06,0.0
ilpd-numeric_did41945,LogisticRegression,0.1,0.1,0.7,0.1,0.7241379310344828,0.6,2.0,0.1,6.0,0.1181434599156118,0.7,0.0,0.1,2.5,5.5,0.9333333333333332,0.0004229515540544,0.1
ionosphere_did59,SVM,0.0588235294117647,0.0909090909090909,0.0294117647058823,0.7941176470588235,0.9428571428571428,0.0588235294117647,3.0,0.0294117647058823,2.0,0.1777777777777777,0.0294117647058823,0.0,0.0871212121212121,3.0,4.5,0.3885918003565062,0.0,0.2
